
P2:  Read id: 0 NULL
P2:  Read id: 0 NULL
P2:  Read id: 4 NULL
P2:  Write id: 2  Percent: 1
P2:  Write id: 2  Percent: 6
P2:  Write id: 0  Percent: 1
P2:  Write id: 2  Percent: 11
P2:  Write id: 2  Percent: 16
P2:  Write id: 0  Percent: 6
P2: Read id: 0  Percent: 6
P2:  Write id: 0  Percent: 11
P2:  Read id: 3 NULL
P2:  Read id: 4 NULL
P2:  Write id: 3  Percent: 1
P2: Read id: 3  Percent: 1
P2:  Write id: 3  Percent: 6
P2: Read id: 0  Percent: 11
P2: Read id: 2  Percent: 16
P2:  Write id: 1  Percent: 1
P2: Read id: 3  Percent: 6
P2:  Read id: 4 NULL
P2: Read id: 2  Percent: 16
P2:  Write id: 4  Percent: 1
P2: Read id: 1  Percent: 1
P2:  Write id: 2  Percent: 21
P2:  Write id: 6  Percent: 1
P2:  Write id: 6  Percent: 6
P2:  Write id: 0  Percent: 16
P2: Read id: 0  Percent: 16
P2: Read id: 0  Percent: 16
P2: Read id: 6  Percent: 6
P2:  Write id: 0  Percent: 21
P2:  Write id: 0  Percent: 26
P1:  Write id: 0  Percent: 27
P1:  Write id: 0  Percent: 28
P2:  Read id: 5 NULL
P1:  Write id: 1  Percent: 2
P2:  Write id: 6  Percent: 11
P2:  Write id: 0  Percent: 33
P1:  Write id: 4  Percent: 2
P3: Read id: 4  Percent: 2
P3:  Read id: 5 NULL
P3: Read id: 2  Percent: 21
P3: Read id: 0  Percent: 33
P3: Read id: 4  Percent: 2
P3: Read id: 2  Percent: 21
P3: Read id: 6  Percent: 11
P1:  Write id: 5  Percent: 1
P2: Read id: 6  Percent: 11
P2: Read id: 0  Percent: 33
P2: Read id: 3  Percent: 6
P2: Read id: 4  Percent: 2
P2: Read id: 5  Percent: 1
P2:  Write id: 4  Percent: 7
P1:  Write id: 3  Percent: 7
P3: Read id: 0  Percent: 33
P1:  Write id: 4  Percent: 8
P2: Read id: 0  Percent: 33
P2: Read id: 4  Percent: 8
P2: Read id: 1  Percent: 2
P2:  Write id: 5  Percent: 6
P2:  Write id: 4  Percent: 13
P2:  Write id: 1  Percent: 7
P1: Read id: 6  Percent: 11
P1:  Write id: 6  Percent: 12
P1:  Write id: 5  Percent: 7
P2: Read id: 4  Percent: 13
P2:  Write id: 2  Percent: 26
P2:  Write id: 0  Percent: 38
P2: Read id: 1  Percent: 7
P2:  Write id: 5  Percent: 12
P2: Read id: 0  Percent: 38
P2: Read id: 0  Percent: 38
P2: Read id: 2  Percent: 26
P2: Read id: 1  Percent: 7
P2: Read id: 2  Percent: 26
P2: Read id: 6  Percent: 12
P2:  Write id: 3  Percent: 12
P1:  Write id: 6  Percent: 13
P3: Read id: 0  Percent: 38
P3: Read id: 6  Percent: 13
P3: Read id: 0  Percent: 38
P3: Read id: 2  Percent: 26
P3: Read id: 1  Percent: 7
P3: Read id: 6  Percent: 13
P1:  Write id: 5  Percent: 13
P2: Read id: 0  Percent: 38
P2: Read id: 0  Percent: 38
P2:  Write id: 0  Percent: 43
P1:  Write id: 4  Percent: 14
P1:  Write id: 6  Percent: 14
P2: Read id: 5  Percent: 13
P2: Read id: 5  Percent: 13
P2:  Write id: 1  Percent: 12
P2:  Write id: 0  Percent: 48
P2:  Write id: 4  Percent: 19
P2: Read id: 1  Percent: 12
P2: Read id: 6  Percent: 14
P2: Read id: 1  Percent: 12
P2:  Write id: 4  Percent: 24
P2:  Write id: 3  Percent: 17
P2:  Write id: 1  Percent: 17
P2: Read id: 2  Percent: 26
P2: Read id: 4  Percent: 24
P2:  Write id: 1  Percent: 22
P1: Read id: 0  Percent: 48
P1: Read id: 4  Percent: 24
P1: Read id: 6  Percent: 14
P1: Read id: 1  Percent: 22
P1:  Write id: 4  Percent: 25
P3: Read id: 6  Percent: 13
